TRADE_DATE,OPEN,LAST,HIGH,LOW,HIGHLOW_TICKS,VOLUME,AVGVOL30D,EQY_BETA
20180628,211.00,212.00,214.50,210.00,9,38816780,35472941,1.2950
20180629,212.00,216.50,217.00,212.00,10,36848680,35777806,1.3040
20180702,218.50,214.00,219.00,214.00,10,33496442,35954769,1.3040
20180703,215.50,214.50,218.00,213.50,9,28663220,35954769,1.3070
20180704,217.00,216.00,217.50,215.50,4,15359295,35380119,1.3070
20180705,214.00,214.50,215.00,213.00,4,18225416,35380119,1.3070
20180706,217.50,217.00,217.50,215.00,5,31344963,35692848,1.2860
20180709,219.50,221.50,223.00,218.50,9,41165793,36515498,1.2860
20180710,223.00,222.00,224.00,222.00,4,20196957,36599621,1.3060
20180711,220.00,220.00,220.00,218.00,4,19854690,36599621,1.3060
20180712,218.00,220.50,222.00,218.00,8,23806051,36402418,1.3060
20180713,222.50,224.50,224.50,222.50,4,30419311,33334756,1.3050
20180716,224.50,223.50,225.00,223.50,3,16107254,33334756,1.3050
20180717,222.50,221.50,223.50,221.00,5,22554435,32649928,1.3050
20180718,223.00,223.00,224.00,222.00,4,45802658,32359826,1.3050
20180719,225.50,224.50,227.00,224.50,5,43976215,32962769,1.3050
20180720,235.00,237.50,237.50,233.00,9,103652023,36028619,1.3110
20180723,239.00,241.00,245.00,238.50,13,52269877,36028619,1.3110
20180724,240.00,241.00,241.50,238.50,6,27468267,36964520,1.3130
20180725,239.00,240.50,241.00,239.00,4,21530312,37145831,1.3130
20180726,241.00,241.00,242.50,239.50,6,30856388,36857196,1.3130
20180727,242.00,244.50,244.50,241.00,7,27129646,36356292,1.3160
20180730,244.50,245.50,245.50,244.00,3,22803730,36356292,1.3160
20180731,243.50,246.00,246.00,242.00,8,28202542,35466194,1.3140
20180801,247.00,248.00,248.00,246.50,3,29777160,34368191,1.3140
20180802,249.00,244.50,249.50,243.50,12,22775110,34003806,1.3140
20180803,246.00,247.00,248.00,245.00,6,25165097,33042343,1.3100
20180806,245.00,245.50,247.00,244.00,6,22364568,33042343,1.3100
20180807,245.00,241.50,245.50,241.50,8,24352418,32152555,1.3110
20180808,245.00,247.50,247.50,244.50,6,24382432,30978924,1.3110
20180809,247.00,247.00,248.00,246.00,4,15128655,30189320,1.3110
20180810,246.50,245.00,247.00,244.50,5,16125492,29498547,1.3110
20180813,241.50,240.50,243.00,239.00,8,17881194,28978039,1.3110
20180814,245.00,243.50,245.00,242.50,5,17488913,28605562,1.3120
20180815,244.50,241.50,244.50,239.50,10,19236322,28734796,1.3120
20180816,238.00,239.00,241.50,238.00,7,19155966,28765815,1.3120
20180817,239.50,239.50,241.00,239.00,4,19634471,28375465,1.3000
20180820,239.50,239.50,240.00,238.00,4,17014437,27570420,1.3000
20180821,239.00,241.00,241.00,238.50,5,13871127,27359559,1.3000
20180822,241.50,242.00,242.50,240.50,4,12679240,27120377,1.3000
20180823,243.00,244.50,244.50,243.00,3,17216240,26900717,1.3000
20180824,245.50,243.50,246.00,243.00,6,15446943,26401638,1.3000
20180827,246.00,245.00,246.50,244.50,4,15579299,26401638,1.3000
20180828,248.50,249.50,250.00,248.00,4,40410531,26384039,1.3040
20180829,253.50,259.00,259.00,253.50,11,57633182,26979242,1.3040
20180830,264.50,263.50,268.00,262.50,11,52622807,27373593,1.3040
20180831,257.50,256.00,259.00,254.00,10,70000506,26540096,1.3130
20180903,259.00,257.00,260.00,256.50,7,34510558,26540096,1.3130
20180904,258.50,257.50,259.50,255.50,8,41455613,25948118,1.3120
20180905,260.00,264.00,264.50,259.00,11,52706458,26414363,1.3120
20180906,268.00,261.00,268.00,261.00,14,39779488,27453568,1.3120
20180907,263.00,264.00,264.00,260.50,7,44746731,28338241,1.2790
20180910,266.50,264.50,266.50,262.50,8,62851600,29673170,1.2790
20180911,263.00,260.00,263.50,258.00,11,44981278,29673170,1.2770
20180912,261.00,260.50,262.00,258.00,8,38415966,30232461,1.2770
20180913,260.00,255.00,260.00,253.50,13,37959180,30520421,1.2770
20180914,257.00,261.00,261.50,257.00,9,40034219,31522194,1.2770
20180917,262.50,258.00,262.50,257.00,11,25041358,31611421,1.2770
20180918,256.50,254.50,257.00,254.00,6,34381152,31611421,1.2560
20180919,258.00,258.00,260.00,257.00,6,69978711,31945712,1.2560
20180920,261.50,260.00,261.50,257.50,8,35577071,33465588,1.2560
20180921,261.50,261.50,261.50,258.00,7,36500974,34826385,1.2530
20180925,261.50,263.50,264.00,260.50,7,24978061,34826385,1.2490
20180926,263.00,263.50,263.50,261.00,5,25061115,35062947,1.2490
20180927,264.00,265.00,266.00,262.00,8,38495371,35315353,1.2490
20180928,266.00,262.50,266.00,260.00,12,39645486,36640306,1.2490
20181001,262.00,263.00,264.00,261.00,6,22409380,36640306,1.2490
20181002,262.00,257.50,263.00,257.00,12,38391491,36732803,1.2450
20181003,257.50,260.00,260.00,257.00,6,25228536,37445371,1.2450
20181004,257.00,254.00,257.50,254.00,7,38009728,37823952,1.2450
20181005,250.00,250.00,253.00,248.50,9,40396660,39440982,1.2310
20181008,245.50,243.50,246.50,241.00,11,51083958,39440982,1.2310
20181009,243.50,244.00,245.00,242.00,6,28933345,40628882,1.2350
20181011,233.50,227.50,233.50,227.00,13,96033655,41074017,1.2350
20181012,231.00,237.00,237.00,229.00,16,54439769,42821674,1.2270
20181015,234.00,230.50,234.00,230.50,7,46471280,42821674,1.2270
20181016,229.50,237.00,237.00,229.00,16,39129077,42616623,1.2340
20181017,241.50,238.50,243.00,238.00,10,42887857,41587576,1.2340
20181018,238.00,236.50,239.00,235.50,7,27793430,41866819,1.2340
20181019,231.00,236.00,236.50,230.00,13,29648460,40642813,1.2300
20181022,232.50,237.00,238.00,231.50,13,29275777,40642813,1.2300
20181023,232.00,230.00,234.00,230.00,8,36757745,40292689,1.2300
20181024,230.00,229.50,231.00,227.00,8,45480950,40026390,1.2300
20181025,220.50,219.50,222.00,219.50,5,75524118,40465463,1.2300
20181026,223.00,221.00,224.00,217.00,14,54073644,40987385,1.2370
20181029,223.00,222.50,224.00,221.00,6,18463792,40987385,1.2370
20181030,221.00,223.00,225.00,220.50,9,29085931,40337539,1.2410
20181031,228.00,234.00,234.00,228.00,12,59933200,39972596,1.2410
20181101,236.00,235.50,237.00,233.00,8,44514798,41473446,1.2410
20181102,236.50,236.50,236.50,233.50,6,30785361,40167001,1.2490
20181105,233.00,235.00,235.50,232.00,7,28157066,39919667,1.2490
20181106,234.00,234.50,235.50,232.50,6,35501177,39886341,1.2490
20181107,233.00,234.00,236.00,232.50,7,39842653,39886341,1.2490
20181108,237.50,236.50,237.50,236.00,3,28086141,40381827,1.2490
20181109,234.50,231.00,234.50,231.00,7,23792081,39992552,1.2520
20181112,230.00,231.50,234.50,230.00,9,26202445,39992552,1.2520
20181113,224.50,227.50,228.00,224.50,7,37565127,39544450,1.2530
20181114,230.00,228.50,231.00,228.50,5,24565278,40049642,1.2530
20181115,229.50,231.00,232.00,228.50,7,22230228,39588768,1.2530
20181116,229.00,226.00,229.00,225.00,8,47138909,39793130,1.2550
20181119,225.00,222.00,225.00,221.00,8,51034754,39793130,1.2550
20181120,219.00,218.00,220.50,218.00,5,45686757,40147734,1.2610
20181121,214.50,219.00,220.00,214.00,12,38478343,40285993,1.2610
20181122,221.50,219.00,222.00,219.00,6,22060610,40285993,1.2610
20181123,220.50,218.50,220.50,217.00,7,15553334,36524011,1.2660
20181126,219.00,223.00,224.00,218.50,11,35267804,36524011,1.2660
20181127,220.00,224.00,224.50,219.00,11,32676349,36150562,1.2680
20181128,222.50,226.50,227.00,222.00,10,24759026,35935471,1.2680
20181129,231.50,229.00,231.50,229.00,5,46206208,35331176,1.2680
20181130,229.50,225.50,231.00,225.50,11,57352957,36868419,1.2670
20181203,231.00,235.00,235.00,231.00,8,49612186,36868419,1.2670
20181204,233.00,234.00,234.50,231.00,7,41947162,37546299,1.2610
20181205,226.50,226.00,227.50,225.00,5,45634576,37719280,1.2610
20181206,220.00,220.00,222.00,219.50,5,40181112,37724401,1.2610
20181207,222.50,221.00,223.50,220.50,6,31997568,35810431,1.2620
20181210,219.50,219.00,220.00,218.50,3,26229461,35810431,1.2620
20181211,220.00,222.50,223.00,219.00,8,27395220,36069287,1.2630
20181212,223.50,226.50,227.00,222.50,9,32926379,36012930,1.2630
20181213,227.00,226.00,227.50,225.00,5,32433141,35112702,1.2630
20181214,223.00,222.50,223.50,220.50,6,43226159,35124674,1.2630
20181217,221.00,223.50,225.00,220.00,10,18964952,35124674,1.2630
20181218,221.00,222.50,223.00,220.50,5,30270541,34818270,1.2630
20181219,222.00,225.50,225.50,222.00,7,23415082,34643915,1.2630
20181220,221.00,221.00,222.50,221.00,3,38697116,34096330,1.2630
20181221,220.00,221.50,221.50,220.00,3,5185247,34521304,1.2590
20181224,221.50,220.00,221.50,219.50,4,23376100,34521304,1.2590
20181225,215.50,217.50,218.00,215.00,6,19402777,34048336,1.2640
20181226,218.50,216.50,219.50,216.00,7,16893259,33876253,1.2640
20181227,222.00,223.00,224.00,220.50,7,21915484,33698354,1.2640
20181228,223.50,225.50,225.50,222.50,6,30156773,32161641,1.2650
20190102,226.50,219.50,226.50,219.00,15,32900482,32161641,1.2670
20190103,214.00,215.50,218.00,214.00,8,34615620,31735431,1.2670
20190104,211.50,208.00,211.50,206.50,10,67043521,33106104,1.2890
20190107,212.00,213.00,214.00,211.00,6,35695176,33106104,1.2890
20190108,212.00,211.00,212.50,210.00,5,23794481,33777499,1.2900
20190109,212.00,215.50,216.50,211.00,11,51255446,33395055,1.2900
20190110,216.00,216.00,216.50,214.50,4,20832593,34014358,1.2900
20190111,219.00,220.50,220.50,218.00,5,28658288,33883477,1.2900
20190114,218.50,218.50,220.00,217.00,6,17612296,33883477,1.2900
20190115,216.50,221.00,221.00,215.50,11,42990923,31973858,1.2910
20190116,218.50,217.50,220.00,217.50,5,30038282,31753149,1.2910
20190117,218.00,220.50,221.00,218.00,6,21163986,31356186,1.2910
20190118,219.00,218.50,220.00,217.50,5,52677569,30957048,1.2870
20190121,220.00,221.00,223.00,220.00,6,32515865,30957048,1.2870
20190122,220.00,223.00,223.00,219.00,8,30958483,30974325,1.2860
20190123,221.50,220.50,222.00,220.00,4,18671211,31131959,1.2860
20190124,222.50,222.50,222.50,220.50,4,31348919,30841159,1.2860
20190125,226.50,226.00,227.00,225.00,4,48039764,31308798,1.2860
20190128,229.50,229.00,229.50,228.00,3,29134257,31308798,1.2900
20190129,222.50,222.50,225.00,222.00,6,42566520,30839068,1.2900
20190130,222.50,222.50,225.00,222.00,6,42566520,31625786,1.2900
20190211,228.00,228.00,229.00,226.50,5,81360106,32346433,1.3040
20190212,230.00,230.00,230.00,229.00,2,30125670,34277934,1.3030
20190213,232.00,229.00,232.00,228.50,7,28634925,33992219,1.3030
20190214,229.50,227.00,230.00,226.00,8,23647751,33381799,1.3030
20190215,229.00,227.00,229.00,226.50,5,22369799,33963672,1.3050
20190218,229.00,230.00,230.50,228.50,4,18163916,33963672,1.3050
20190219,230.00,229.00,230.50,229.00,3,18423023,33922377,1.3050
20190220,231.50,234.50,234.50,231.00,7,31887711,33973369,1.3050
20190221,235.50,236.50,236.50,234.50,4,34013489,34305777,1.3050
20190222,235.50,236.50,236.50,234.00,5,22032163,34072057,1.3060
20190225,237.50,238.00,239.00,236.00,6,25227139,34072057,1.3060
20190226,239.00,239.50,240.00,236.50,7,24586789,33759107,1.3040
20190227,238.50,239.00,239.50,237.00,5,37947890,32343883,1.3040
20190304,238.50,239.00,239.50,237.00,5,37947890,32418973,1.3040
20190305,234.00,233.00,234.50,232.50,4,23708407,31625824,1.3030
20190306,235.00,234.00,235.50,233.50,4,20811226,30707589,1.3030
20190307,235.00,234.00,235.00,233.00,4,17226192,30706877,1.3030
20190308,231.00,230.00,231.50,229.00,5,22535659,30489919,1.3090
20190311,228.00,230.50,230.50,227.50,6,34282793,30489919,1.3090
20190312,233.00,235.50,237.00,232.50,9,23839972,30199648,1.3090
20190313,234.00,237.00,237.00,234.00,6,22493194,29993038,1.3090
20190314,239.00,234.50,239.00,234.00,10,17281356,30037345,1.3090
20190315,237.00,239.00,239.50,235.50,8,34542730,28925033,1.3130
20190318,239.50,241.00,241.00,239.00,4,27040532,28794435,1.3130
20190319,239.00,240.50,240.50,238.00,5,14620009,28794435,1.3130
20190320,242.00,242.00,242.00,239.50,5,23055971,28659395,1.3130
20190321,242.50,245.50,245.50,241.00,9,27514502,28382963,1.3130
20190322,248.00,248.50,248.50,244.50,8,22996467,27494195,1.3170
20190325,240.50,241.50,243.50,240.50,6,19273254,27494195,1.3170
20190326,243.00,244.00,244.00,241.00,6,21053170,26717753,1.3160
20190327,242.00,241.50,242.50,240.50,4,23622088,25689860,1.3160
20190328,240.50,242.00,242.50,240.00,5,13998054,23765260,1.3160
20190329,243.00,245.50,245.50,240.50,10,31024810,23307335,1.3160
20190401,251.00,245.50,251.00,245.00,12,35330656,23307335,1.3160
20190402,249.50,246.00,249.50,246.00,7,25189053,23696765,1.3160
20190403,249.00,246.50,249.00,246.50,5,28581323,23790741,1.3160
20190408,251.00,253.00,253.00,250.50,5,46426821,24137987,1.3150
20190409,253.00,254.00,254.00,252.00,4,22745674,25071447,1.3180
20190410,253.00,254.00,254.50,252.00,5,33174934,24766713,1.3180
20190411,253.00,252.00,254.00,251.50,5,25146840,24738761,1.3180
20190412,251.50,252.00,253.00,251.00,4,13888148,24464617,1.3190
20190415,255.00,255.50,256.00,254.00,4,17257002,24464617,1.3190
20190416,257.00,257.00,257.00,255.50,3,20231648,24220291,1.3200
20190417,260.00,261.50,263.00,259.50,7,39037191,23629750,1.3200
20190418,264.00,264.50,266.00,263.50,5,48525491,24930989,1.3200
20190419,269.00,264.50,269.50,263.50,12,47698698,26654474,1.3270
20190422,266.50,266.00,267.50,265.00,5,24967393,26654474,1.3270
20190423,266.50,268.00,268.00,266.00,4,26251847,26912514,1.3270
20190424,270.00,269.00,270.00,267.50,5,37386755,27036387,1.3270
20190425,268.50,267.50,269.00,267.00,4,36572454,27139853,1.3270
20190426,262.00,260.00,263.00,257.50,11,51743804,28539289,1.3280
20190429,260.00,259.50,262.00,258.50,7,32651617,28539289,1.3280
20190430,260.00,259.00,260.50,258.00,5,40446417,29051631,1.3280
20190502,261.50,259.00,262.50,258.50,8,27376394,29248421,1.3280
20190503,262.00,265.00,265.00,260.50,9,30200246,29778957,1.3270
20190506,260.00,259.00,260.00,258.00,4,33688187,29778957,1.3270
